country,year,country_code,record,crop_land,grazing_land,forest_land,fishing_ground,built_up_land,carbon,total,QScore,country,year,country_code,record,crop_land,grazing_land,forest_land,fishing_ground,built_up_land,carbon,total,QScore,Population
Armenia,2011,1,AreaPerCap,0.169340765,0.402799213,0.111591049,0.042790046,0.029257879,0,0.755778952,5,Armenia,2011,1,AreaTotHA,502600,1195500,331200,127000,86836.79962,0,2243136.8,5," 2,967,980 "
Afghanistan,2011,2,AreaPerCap,0.274565077,1.041334047,0.046860032,0,0.045832931,0,1.408592086,5,Afghanistan,2011,2,AreaTotHA,7910000,30000000,1350000,0,1320410.034,0,40580410.03,5," 28,809,199 "
Albania,2011,3,AreaPerCap,0.24961683,0.273466877,0.386697546,0.22169535,0.025067353,0,1.156543957,6,Albania,2011,3,AreaTotHA,720396.6711,789228.1455,1116012.99,639815,72344.63099,0,3337797.438,6," 2,886,010 "
Algeria,2011,4,AreaPerCap,0.229348169,0.897864989,0.052444227,0.024977462,0.029983577,0,1.234618423,5,Algeria,2011,4,AreaTotHA,8421000,32967000,1925600,917100,1100910.034,0,45331610.03,5," 36,717,102 "
Angola,2011,7,AreaPerCap,0.22741462,2.460999899,2.659484098,0.240945562,0.040574732,0,5.629418911,6,Angola,2011,7,AreaTotHA,4990000,54000000,58355200,5286900,890302.9785,0,123522403,6," 21,942,301 "
Argentina,2011,9,AreaPerCap,0.849369561,2.710319759,0.679361213,1.991542479,0.033785372,0,6.264378383,6,Argentina,2011,9,AreaTotHA,35381000,112900000,28299200,82958900,1407349.976,0,260946450,6," 41,655,602 "
Australia,2011,10,AreaPerCap,1.056453798,17.11697019,5.479407599,9.408022053,0.026586742,0,33.08744038,5,Australia,2011,10,AreaTotHA,23815004.51,385857595.5,123519000,212079400,599328.9795,0,745870329,5," 22,542,400 "
Austria,2011,11,AreaPerCap,0.230474967,0.185344135,0.445031879,0.008368928,0.049397336,0,0.918617245,6,Austria,2011,11,AreaTotHA,1941419.617,1561257.36,3748752.541,70496.16279,416101.4044,0,7738027.085,6," 8,423,560 "
Barbados,2011,14,AreaPerCap,0.042765199,0.007127533,0.02245173,0.145045301,0.022606147,0,0.23999591,5,Barbados,2011,14,AreaTotHA,12000,2000,6300,40700,6343.329906,0,67343.32991,5," 280,602 "
Bangladesh,2011,16,AreaPerCap,0.055591046,0.00391119,0.009382945,0.052162888,0.015417325,0,0.136465393,6,Bangladesh,2011,16,AreaTotHA,8528000,600000,1439400,8002100,2365110.107,0,20934610.11,6," 153,406,000 "
Bhutan,2011,18,AreaPerCap,0.153773465,0.555824157,3.708070928,0.037828819,0.132934697,0,4.588432066,5,Bhutan,2011,18,AreaTotHA,112600,407000,2715220,27700,97340.89661,0,3359860.897,5," 732,246 "
Bolivia,2011,19,AreaPerCap,0.419420126,3.274394174,5.548609763,0.151614373,0.042568614,0,9.43660705,5,Bolivia,2011,19,AreaTotHA,4227000,33000000,55920000,1528000,429015.0146,0,95104015.01,5," 10,078,200 "
