GFN_Country,Year,Population
Armenia,2011,2967979.98
Afghanistan,2011,28809199.22
Albania,2011,2886010.01
Algeria,2011,36717101.56
Angola,2011,21942300.78
Argentina,2011,41655601.56
Australia,2011,22542400.39
Austria,2011,8423559.57
Barbados,2011,280601.9897
Bangladesh,2011,153406000
Bermuda,2011,63577.99911
Bhutan,2011,732245.9717
Bolivia,2011,10078200.2
Botswana,2011,2089709.961
Brazil,2011,200518000
Bulgaria,2011,7355229.98
Myanmar,2011,52125398.44
Burundi,2011,9790150.391
Cameroon,2011,21119099.61
Canada,2011,34499898.44
Cabo Verde,2011,495158.9966
Central African Republic,2011,4530899.902
Sri Lanka,2011,20315699.22
Chad,2011,12298500
Chile,2011,17201300.78
Colombia,2011,46406398.44
Comoros,2011,715971.9849
Congo,2011,4177439.941
Costa Rica,2011,4600490.234
Cuba,2011,11323599.61
Cyprus,2011,1116640.015
Azerbaijan,2011,9227509.766
Benin,2011,9779389.648
Denmark,2011,5576580.078
Dominica,2011,71402.00043
Dominican Republic,2011,10027099.61
Belarus,2011,9487669.922
Ecuador,2011,15177299.8
Egypt,2011,83787601.56
El Salvador,2011,6055209.961
Estonia,2011,1328069.946
Fiji,2011,867327.0264
Finland,2011,5395819.824
France,2011,63305601.56
French Polynesia,2011,270861.9995
Djibouti,2011,841802.002
Georgia,2011,4196399.902
Gambia,2011,1749099.976
Germany,2011,80424703.13
Bosnia and Herzegovina,2011,3832310.059
Ghana,2011,24928500
Greece,2011,11153000
Grenada,2011,105069.9997
Guadeloupe,2011,458666.9922
Guatemala,2011,15049299.8
Guinea,2011,11316400.39
Guyana,2011,755882.9956
Haiti,2011,10144900.39
Honduras,2011,7621410.156
Hungary,2011,9988849.609
Croatia,2011,4302069.824
India,2011,1247450000
Indonesia,2011,244808000
"Iran, Islamic Republic of",2011,75184296.87
Iraq,2011,31867800.78
Ireland,2011,4652709.961
Israel,2011,7563330.078
Italy,2011,59710699.22
Cote d'Ivoire,2011,20604199.22
Jamaica,2011,2752360.107
Japan,2011,127253000
Jordan,2011,6760370.117
Kyrgyzstan,2011,5553830.078
Kenya,2011,41420000
Cambodia,2011,14593099.61
"Korea, Democratic People's Republic of",2011,24631400.39
"Korea, Republic of",2011,49356699.22
Latvia,2011,2063659.912
Lao People's Democratic Republic,2011,6366910.156
Lebanon,2011,4591700.195
Lesotho,2011,2032949.951
Liberia,2011,4079570.068
Libyan Arab Jamahiriya,2011,6288649.902
Lithuania,2011,3070590.088
Madagascar,2011,21678900.39
Malawi,2011,15226799.8
Malaysia,2011,28573000
Mali,2011,15639099.61
Martinique,2011,394697.998
Mauritania,2011,3683219.971
Mauritius,2011,1253089.966
Mexico,2011,120365000
Mongolia,2011,2759070.068
Morocco,2011,32532000
Mozambique,2011,25016900.39
Moldova,2011,4077810.059
Nepal,2011,27179199.22
Netherlands,2011,16689900.39
Macedonia TFYR,2011,2065889.893
New Zealand,2011,4404479.98
Nicaragua,2011,5807790.039
Niger,2011,16946500
Nigeria,2011,163771000
Norway,2011,4953939.941
Pakistan,2011,173670000
Panama,2011,3681979.98
Czech Republic,2011,10534000
Papua New Guinea,2011,7001169.922
Paraguay,2011,6293759.766
Peru,2011,29759900.39
Philippines,2011,94501203.13
Poland,2011,38594199.22
Portugal,2011,10558900.39
Guinea-Bissau,2011,1673510.01
Timor-Leste,2011,1077599.976
Eritrea,2011,4789569.824
Zimbabwe,2011,14255599.61
Réunion,2011,837020.0195
Romania,2011,20111699.22
Rwanda,2011,10556400.39
Russian Federation,2011,143211000
Saint Kitts and Nevis,2011,52998.0011
Saint Lucia,2011,179277.9999
Sao Tome and Principe,2011,174645.9961
Senegal,2011,13357000
Sierra Leone,2011,5908910.156
Slovenia,2011,2059020.02
Slovakia,2011,5411379.883
Singapore,2011,5190669.922
Somalia,2011,9806669.922
South Africa,2011,52237300.78
Spain,2011,46708398.44
Tajikistan,2011,7753919.922
Swaziland,2011,1212459.961
Sweden,2011,9462349.609
Switzerland,2011,7925810.059
Syrian Arab Republic,2011,20501199.22
Turkmenistan,2011,5106669.922
"Tanzania, United Republic of",2011,47123000
Thailand,2011,66903000
Togo,2011,6566180.176
Tonga,2011,104391.9983
Trinidad and Tobago,2011,1334790.039
Oman,2011,3210000
Tunisia,2011,10758900.39
Turkey,2011,73517000
Uganda,2011,34260300.78
United Kingdom,2011,63164898.44
Ukraine,2011,45477699.22
United States of America,2011,312390000
Burkina Faso,2011,16106900.39
Uruguay,2011,3385610.107
Uzbekistan,2011,28158400.39
"Venezuela, Bolivarian Republic of",2011,29427599.61
Viet Nam,2011,89321898.44
Ethiopia,2011,89858703.13
British Virgin Islands,2011,27906.00014
Wallis and Futuna Islands,2011,13449.99981
Samoa,2011,187434.0057
Yemen,2011,24234900.39
"Congo, Democratic Republic of",2011,68087398.44
Zambia,2011,14343500
Belgium,2011,11005200.2
Luxembourg,2011,519981.0181
Serbia,2011,9023879.883
Montenegro,2011,622956.9702
Sudan,2011,36918199.22
South Sudan,2011,10510099.61
China,2011,1379020000
World,2011,7013430000
Armenia,2007,2988120.117
Afghanistan,2007,25877500
Albania,2007,3010850.098
Algeria,2007,34262000
Angola,2007,19183900.39
Argentina,2007,39969898.44
Australia,2007,20975900.39
Austria,2007,8301290.039
Barbados,2007,276153.9917
Bangladesh,2007,146593000
Bhutan,2007,681471.0083
Bolivia,2007,9441480.469
Brazil,2007,192785000
Bulgaria,2007,7568379.883
Myanmar,2007,50698800.78
Burundi,2007,8514580.078
Cameroon,2007,19078099.61
Canada,2007,32982300.78
Central African Republic,2007,4202100.098
Sri Lanka,2007,19813800.78
Chad,2007,10779500
Chile,2007,16462699.22
Colombia,2007,44374601.56
Congo,2007,3715669.922
Costa Rica,2007,4369459.961
Cuba,2007,11284000
Cyprus,2007,1063040.039
Azerbaijan,2007,8763360.352
Benin,2007,8707639.648
Denmark,2007,5466990.234
Dominica,2007,70794.99817
Dominican Republic,2007,9504339.844
Belarus,2007,9556059.57
Egypt,2007,77605296.87
El Salvador,2007,5986410.156
Estonia,2007,1344229.98
Fiji,2007,834729.0039
France,2007,62001199.22
French Polynesia,2007,260360.9924
Gambia,2007,1536420.044
Germany,2007,80854500
Bosnia and Herzegovina,2007,3840419.922
Ghana,2007,22528000
Greece,2007,11131299.8
Guadeloupe,2007,453903.9917
Guatemala,2007,13797599.61
Guinea,2007,10152500
Guyana,2007,745638.0005
Haiti,2007,9556959.961
Hungary,2007,10064099.61
Croatia,2007,4357109.863
India,2007,1179690000
Indonesia,2007,232297000
Ireland,2007,4388609.863
Israel,2007,6920759.766
Italy,2007,59169300.78
Côte d'Ivoire,2007,18862199.22
Japan,2007,127250000
Jordan,2007,5759419.922
Kenya,2007,37250500
"Korea, Democratic People's Republic of",2007,24111900.39
"Korea, Republic of",2007,48205101.56
Latvia,2007,2171379.883
Lao People's Democratic Republic,2007,5939629.883
Lebanon,2007,4085429.932
Lithuania,2007,3264300.049
Madagascar,2007,19371000
Malawi,2007,13498400.39
Malaysia,2007,26730599.61
Mali,2007,13759200.2
Mauritius,2007,1233000
Mexico,2007,113139000
Morocco,2007,31011300.78
Mozambique,2007,22359599.61
Moldova,2007,4128459.961
Nepal,2007,26063599.61
Netherlands,2007,16463000
Macedonia TFYR,2007,2051429.932
New Zealand,2007,4238020.02
Nicaragua,2007,5522120.117
Niger,2007,14527599.61
Nigeria,2007,147153000
Norway,2007,4716580.078
Pakistan,2007,159768000
Panama,2007,3438399.902
Czech Republic,2007,10330500
Paraguay,2007,5966160.156
Peru,2007,28292800.78
Philippines,2007,88965500
Poland,2007,38500398.44
Portugal,2007,10550700.2
Guinea-Bissau,2007,1527339.966
Eritrea,2007,4406299.805
Zimbabwe,2007,13297799.8
Réunion,2007,808869.9951
Romania,2007,20979699.22
Rwanda,2007,9481080.078
Russian Federation,2007,143180000
Saint Lucia,2007,170145.9961
Sao Tome and Principe,2007,160063.9954
Senegal,2007,11897200.2
