,country_orCode,country,year,ZScore_Index,CLUM_category,MaxMin_Index,NAPercent,,
1,World,World,2004,-0.229964946,Food,0.167825886,0,,
2,World,World,2007,-0.088139643,Food,0.179861524,0,,
3,World,World,2011,0.137971588,Food,0.199288287,0,,
4,Andorra,Andorra,2004,NA,Food,NA,100,,
5,Andorra,Andorra,2007,NA,Food,NA,100,,
6,Andorra,Andorra,2011,NA,Food,NA,100,,
7,United Arab Emirates,United Arab Emirates,2004,2.040572199,Food,0.373157733,0,,
8,United Arab Emirates,United Arab Emirates,2007,1.818087954,Food,0.35666527,0,,
9,United Arab Emirates,United Arab Emirates,2011,1.198720142,Food,0.305417077,0,,
10,Afghanistan,Afghanistan,2004,-0.497855424,Food,0.143401289,0,,
11,Afghanistan,Afghanistan,2007,-0.220057239,Food,0.167583719,0,,
12,Afghanistan,Afghanistan,2011,-0.197902717,Food,0.169075037,0,,
13,Antigua and Barbuda,Antigua and Barbuda,2004,-0.228842728,Food,0.212296122,20,,
14,Antigua and Barbuda,Antigua and Barbuda,2007,-0.343029706,Food,0.20262112,20,,
15,Antigua and Barbuda,Antigua and Barbuda,2011,-0.628770404,Food,0.178258884,20,,
16,Albania,Albania,2004,-0.122473847,Food,0.22372871,20,,
17,Albania,Albania,2007,-0.011268907,Food,0.233621079,20,,
18,Albania,Albania,2011,0.560096483,Food,0.283729838,20,,
19,Armenia,Armenia,2004,-0.522845955,Food,0.141938865,0,,
20,Armenia,Armenia,2007,0.140236788,Food,0.198099423,0,,
21,Armenia,Armenia,2011,0.210194054,Food,0.203917631,0,,
22,Angola,Angola,2004,-0.617655189,Food,0.132297162,0,,
23,Angola,Angola,2007,-0.221781201,Food,0.165910508,0,,
24,Angola,Angola,2011,0.881950601,Food,0.259963643,0,,
25,Argentina,Argentina,2004,0.205458832,Food,0.19996302,0,,
26,Argentina,Argentina,2007,0.602798471,Food,0.234479845,0,,
27,Argentina,Argentina,2011,0.799332491,Food,0.250409777,0,,
28,American Samoa,American Samoa,2004,-0.51449865,Food,0.526398271,60,,
29,American Samoa,American Samoa,2007,0.212799523,Food,0.588381519,60,,
30,American Samoa,American Samoa,2011,0.562815732,Food,0.618211294,60,,
31,Austria,Austria,2004,0.293820848,Food,0.26339506,20,,
32,Austria,Austria,2007,0.239763702,Food,0.257934842,20,,
33,Austria,Austria,2011,0.568948973,Food,0.287728614,20,,
34,Australia,Australia,2004,-0.285290345,Food,0.208104082,20,,
35,Australia,Australia,2007,-0.509783502,Food,0.187378467,20,,
36,Australia,Australia,2011,-0.10918802,Food,0.22310357,20,,
37,Aruba,Aruba,2004,NA,Food,NA,100,,
38,Aruba,Aruba,2007,NA,Food,NA,100,,
39,Aruba,Aruba,2011,NA,Food,NA,100,,
