year, GTAP9_code, GTAP_name, clum7, clum7_name, coicop_expenditure, crop_land, grazing_land, forest_land, fishing_ground, built_up_land, carbon, total, flag,,ZScore_Index,MaxMin_Index,NAPercent,,,GTAP_Region,year,ZScore_Index,MaxMin_Index,NAPercent,CLUM_category
2004,1,Australia,1,Food,0.003201225,0.68076844,0.333224512,0.084877605,0.084894404,0.012537461,0.369011006,1.565313428,COUNTRY,2004AustraliaFood,-0.285290345,0.208104082,20,2004AlbaniaFood,5,Albania,2004,-0.122473847,0.22372871,20,Food
2004,1,Australia,2,Housing,0.005551265,0.081103682,0.0231527,0.070423295,0.003054421,0.013930749,1.127213224,1.318878071,COUNTRY,2004AustraliaHousing,0.11255421,0.654521,0,2004AlbaniaGoods,1,Albania,2004,NA,0.048051511,0,Goods
2004,1,Australia,3,Personal Transportation,0.00315299,0.141743518,0.060048815,0.079563105,0.009410473,0.017878612,1.219648435,1.528292957,COUNTRY,2004AustraliaPersonal Transportation,0.053223846,0.014925454,33.33333333,2004AlbaniaGovernment,2,Albania,2004,-0.203176612,0.240947798,0,Government
2004,1,Australia,4,Goods,0.006454765,0.606137349,0.121977554,0.103813562,0.015632396,0.022318262,0.538122529,1.408001653,COUNTRY,2004AustraliaGoods,NA,Inf,0,2004AlbaniaHousing,4,Albania,2004,-0.141239386,0.579988353,0,Housing
2004,1,Australia,5,Services,0.011852617,0.241668888,0.049829581,0.056196107,0.007005098,0.02015097,0.375323783,0.750174427,COUNTRY,2004AustraliaServices,-0.067148173,0.462852956,37.5,2004AlbaniaServices,3,Albania,2004,-0.150802106,0.463397421,37.5,Services
2004,1,Australia,GFCF,Gross Fixed Capital Formation,0.007597187,0.632665335,0.118292494,0.440307221,0.015369998,0.05225006,1.198831935,2.457717043,COUNTRY,2004AustraliaGross Fixed Capital Formation,#N/A,#N/A,#N/A,2004AlbaniaPersonal Transportation,6,Albania,2004,-0.068458098,0.428134706,0,Personal Transportation
2004,1,Australia,Govt,Government,0.005336991,0.34563799,0.059641087,0.12153168,0.027957424,0.021668944,0.511746641,1.088183766,COUNTRY,2004AustraliaGovernment,0.385557341,0.281684253,27.27272727,2004ArgentinaFood,23,Argentina,2004,0.205458832,0.19996302,0,Food
2004,2,New Zealand,1,Food,0.003363932,0.224460715,0.422003453,0.063206804,0.449360352,0.014656872,0.408575996,1.582264193,COUNTRY,2004New ZealandFood,0.744563475,0.296428599,20,2004ArgentinaGoods,19,Argentina,2004,NA,0.004545455,0,Goods
2004,2,New Zealand,2,Housing,0.00536532,0.024471415,0.019363529,0.143538863,0.028379264,0.014897849,0.410463118,0.641114038,COUNTRY,2004New ZealandHousing,0.458029413,0.755978175,0,2004ArgentinaGovernment,22,Argentina,2004,0.185309581,0.311005192,0,Government
2004,2,New Zealand,3,Personal Transportation,0.002918275,0.021371913,0.015584349,0.046409121,0.021645141,0.010921322,0.67900335,0.794935196,COUNTRY,2004New ZealandPersonal Transportation,0.292675245,0.458251872,0,2004ArgentinaHousing,20,Argentina,2004,-1.157507882,0.281536455,0,Housing
2004,2,New Zealand,4,Goods,0.005176081,0.086229832,0.051559706,0.105896065,0.047419922,0.018003682,0.388023454,0.697132661,COUNTRY,2004New ZealandGoods,NA,Inf,0,2004ArgentinaServices,21,Argentina,2004,0.111756228,0.498272039,0,Services
2004,2,New Zealand,5,Services,0.004325613,0.020452867,0.025888523,0.047242096,0.016006747,0.010804837,0.202783425,0.323178494,COUNTRY,2004New ZealandServices,0.248252698,0.484226896,25,2004ArgentinaPersonal Transportation,24,Argentina,2004,0.290887917,0.458244554,0,Personal Transportation
