Concat,ZScore_Index,MaxMin_Index,0Percent,Concat2,Indexish,ZScore_Index,MaxMin_Index,NAPercent,GTAP_Region,CLUM_category,year
2004AustraliaFood,-0.285290345,0.208104082,20,2004AlbaniaFood,436,-0.122473847,0.22372871,20,Albania,Food,2004
2004AustraliaHousing,0.11255421,0.654521,0,2004AlbaniaGovernment,769,-0.203176612,0.240947798,0,Albania,Government,2004
2004AustraliaPersonal Transportation,0.053223846,0.014925454,33.33333333,2004AlbaniaHousing,1767,-0.141239386,0.579988353,0,Albania,Housing,2004
2004AustraliaGoods,0,0,0,2004AlbaniaPersonal Transportation,1435,-0.068458098,0.428134706,0,Albania,Personal Transportation,2004
2004AustraliaServices,-0.067148173,0.462852956,37.5,2004AlbaniaServices,1102,-0.150802106,0.463397421,37.5,Albania,Services,2004
2004AustraliaGross Fixed Capital Formation,0,0,0,2007AlbaniaFood,437,-0.011268907,0.233621079,20,Albania,Food,2007
2004AustraliaGovernment,0.385557341,0.281684253,27.27272727,2007AlbaniaGovernment,770,-0.134585061,0.254029735,0,Albania,Government,2007
2004New ZealandFood,0.744563475,0.296428599,20,2007AlbaniaHousing,1766,-0.062513521,0.603108114,0,Albania,Housing,2007
2004New ZealandHousing,0.458029413,0.755978175,0,2007AlbaniaPersonal Transportation,1436,0.014433354,0.435126905,0,Albania,Personal Transportation,2007
2004New ZealandPersonal Transportation,0.292675245,0.458251872,0,2007AlbaniaServices,1103,-0.15959666,0.390699582,25,Albania,Services,2007
2004New ZealandGoods,0,0,0,2011AlbaniaFood,438,0.560096483,0.283729838,20,Albania,Food,2011
2004New ZealandServices,0.248252698,0.484226896,25,2011AlbaniaGovernment,771,0.0026199,0.261861664,9.090909091,Albania,Government,2011
2004New ZealandGross Fixed Capital Formation,0,0,0,2011AlbaniaHousing,1765,0.031668191,0.630766858,0,Albania,Housing,2011
2004New ZealandGovernment,0.536224669,0.400209214,9.090909091,2011AlbaniaPersonal Transportation,1437,0.00089694,0.433965951,0,Albania,Personal Transportation,2011
2004Rest of OceaniaFood,-0.161058129,0.21739981,18.72052986,2011AlbaniaServices,1104,-0.036861785,0.474872984,0,Albania,Services,2011
2004Rest of OceaniaHousing,0,0,100,2004ArgentinaFood,442,0.205458832,0.19996302,0,Argentina,Food,2004
2004Rest of OceaniaPersonal Transportation,-0.092341366,0.064874873,31.07645761,2004ArgentinaGovernment,775,0.185309581,0.311005192,0,Argentina,Government,2004
2004Rest of OceaniaGoods,0,0,0,2004ArgentinaHousing,1770,-1.157507882,0.281536455,0,Argentina,Housing,2004
2004Rest of OceaniaServices,-1.328223479,0.154875685,57.16108136,2004ArgentinaPersonal Transportation,1441,0.290887917,0.458244554,0,Argentina,Personal Transportation,2004
2004Rest of OceaniaGross Fixed Capital Formation,0,0,0,2004ArgentinaServices,1108,0.111756228,0.498272039,0,Argentina,Services,2004
2004Rest of OceaniaGovernment,-0.367385748,0.123229095,25.97015287,2007ArgentinaFood,443,0.602798471,0.234479845,0,Argentina,Food,2007
2004ChinaFood,-0.012963093,0.187500796,0,2007ArgentinaGovernment,776,0.291964885,0.326451261,0,Argentina,Government,2007
2004ChinaHousing,-0.981201868,0.333312993,0,2007ArgentinaHousing,1769,-1.17151235,0.277423703,0,Argentina,Housing,2007
2004ChinaPersonal Transportation,0.444710465,0.042982063,33.33333333,2007ArgentinaPersonal Transportation,1442,0.377227402,0.465521896,0,Argentina,Personal Transportation,2007
2004ChinaGoods,0,0,0,2007ArgentinaServices,1109,0.247940991,0.52576628,0,Argentina,Services,2007
2004ChinaServices,0.009230248,0.303352844,50,2011ArgentinaFood,444,0.799332491,0.250409777,0,Argentina,Food,2011
2004ChinaGross Fixed Capital Formation,0,0,0,2011ArgentinaGovernment,777,0.200537622,0.317001951,0,Argentina,Government,2011
