GTAP9_Code,year,ass_pov_extr
1,2004,0
1,2007,0
1,2011,0
2,2004,0
2,2007,0
2,2011,0
3,2004,29.100000000000005
3,2007,29.100000000000005
3,2011,29.1
4,2004,2.3194206
4,2007,2.1985514999999998
4,2011,2.0373927
5,2004,0
5,2007,0
5,2011,0
6,2004,0
6,2007,0
6,2011,0
7,2004,0
7,2007,0
7,2011,0
8,2004,9.5
8,2007,6.856583199999999
8,2011,2.891458
9,2004,0
9,2007,0
9,2011,0
10,2004,0
10,2007,0
10,2011,0
11,2004,0
11,2007,0
11,2011,0
12,2004,22.399999999999995
12,2007,19.479999999999997
12,2011,15.1
13,2004,10.1
13,2007,10.1
13,2011,5.3280224
14,2004,32.3
14,2007,28.618219999999997
14,2011,13.8911
15,2004,0
15,2007,0
15,2011,0
16,2004,8.675672
16,2007,6.368918
16,2011,4.8315944
17,2004,0
17,2007,0
17,2011,0
18,2004,0.5
18,2007,0.5
18,2011,0.5
19,2004,6.355555555555555
19,2007,4.188888888888888
19,2011,1.3
20,2004,24.31950352763544
20,2007,24.34657446979997
20,2011,24.367732404153085
21,2004,45.3
21,2007,45.3
21,2011,33.09388
22,2004,37.5
22,2007,37.5
22,2011,37.5
23,2004,46.70000000000001
23,2007,41.7
23,2011,21.7
24,2004,25.1
24,2007,23.951408333333333
24,2011,19.357041666666667
25,2004,4.8
25,2007,4.8
25,2011,4.8
26,2004,24.21439131346086
26,2007,24.216773699747037
26,2011,24.23434616823388
27,2004,0
27,2007,0
27,2011,0
28,2004,0
28,2007,0
28,2011,0
29,2004,2.2
29,2007,2.0680173333333336
29,2011,1.540086666666667
30,2004,0
30,2007,0
30,2011,0
31,2004,2.2
31,2007,2.2
31,2011,2.2
32,2004,17.409648
32,2007,12.452411999999999
32,2011,10.8
33,2004,0.27757333333333334
33,2007,0.6
33,2011,0.6
34,2004,0
34,2007,0
34,2011,0
35,2004,5.75611
35,2007,4.053666
35,2011,1.5
36,2004,1.1579333
36,2007,1.3317332
36,2011,1.5634664
37,2004,8.7
37,2007,8.7
37,2011,8.7
38,2004,15.800000000000002
38,2007,12.35
38,2011,6.4826844999999995
39,2004,0
39,2007,0
39,2011,0
40,2004,NaN
40,2007,NaN
40,2011,NaN
41,2004,4.327040622124145
41,2007,4.174244556722904
41,2011,3.1938026610590082
42,2004,0
42,2007,0
42,2011,0
43,2004,15.4
43,2007,15.4
43,2011,15.4
44,2004,19.8
44,2007,15.310895666666667
44,2011,6.332687
45,2004,23.303976000000002
45,2007,16.8758366
45,2011,7.979183
46,2004,0
46,2007,0
46,2011,0
47,2004,NaN
47,2007,NaN
47,2011,NaN
48,2004,2.7
48,2007,2.5093330000000003
48,2011,1.7466650000000001
49,2004,4.846687142857142
49,2007,2.9
49,2011,2.3098140000000003
50,2004,0.5618131
50,2007,0.5618131
50,2011,0.5618131
51,2004,0
51,2007,0
51,2011,0
52,2004,0.2
52,2007,0.2
52,2011,0.20000000000000004
53,2004,46.48315927387549
53,2007,43.9108467078688
53,2011,33.435029100423584
54,2004,0
54,2007,0
54,2011,0
55,2004,0
55,2007,0
55,2011,0
56,2004,0
56,2007,0
56,2011,0
57,2004,0
57,2007,0
57,2011,0
58,2004,0
58,2007,0
58,2011,0
59,2004,0.4
59,2007,0.4
59,2011,0.39999999999999997
60,2004,0
60,2007,0
60,2011,0
61,2004,0
61,2007,0
61,2011,0
62,2004,0
62,2007,0
62,2011,0
63,2004,0
63,2007,0
63,2011,0
64,2004,0.2
64,2007,0.2
64,2011,0.2
65,2004,0
65,2007,0
65,2011,0
66,2004,0
66,2007,0
66,2011,0
67,2004,0.2
67,2007,0.2
67,2011,0.2
68,2004,0
68,2007,0
68,2011,0
69,2004,0
69,2007,0
69,2011,0
70,2004,NaN
70,2007,NaN
70,2011,NaN
71,2004,0
71,2007,0
71,2011,0
72,2004,0
72,2007,0
72,2011,0
73,2004,0
73,2007,0
73,2011,0
74,2004,0
74,2007,0
74,2011,0
75,2004,0
75,2007,0
75,2011,0
76,2004,0
76,2007,0
76,2011,0
77,2004,0
77,2007,0
77,2011,0
78,2004,0
78,2007,0
78,2011,0
79,2004,0
79,2007,0
79,2011,0
80,2004,0
80,2007,0
80,2011,0
81,2004,0
81,2007,0
81,2011,0
82,2004,0.20811000000000002
82,2007,0.20270333333333335
82,2011,0.2
83,2004,0
83,2007,0
83,2011,0
84,2004,0
84,2007,0
84,2011,0
85,2004,0.7
85,2007,0.7
85,2011,0.7
86,2004,NaN
86,2007,NaN
86,2011,NaN
87,2004,0.5
87,2007,0.5
87,2011,0.5
88,2004,0.1
88,2007,0.1
88,2011,0.03702799999999999
89,2004,1.2
89,2007,1.0049380285714284
89,2011,0.6148140857142858
90,2004,0.2935759322921623
90,2007,0.217480643102078
90,2011,0.08326922789895813
91,2004,0.3
91,2007,0.23433925
91,2011,0.037357
92,2004,2.4
92,2007,1.7184276285714282
92,2011,0.3552828857142858
93,2004,2.445446551852798
93,2007,2.0838155253819983
93,2011,1.2981012780754742
94,2004,0.3
94,2007,0.18
94,2011,0
95,2004,2.1
95,2007,2.1
95,2011,2.1
96,2004,0.5
96,2007,0.5
96,2011,0.5
97,2004,0
97,2007,0
97,2011,0
98,2004,0
98,2007,0
98,2011,0
99,2004,0
99,2007,0
99,2011,0
100,2004,0.17146
100,2007,0.17146
100,2011,0.04318193333333334
101,2004,0
101,2007,0
101,2011,0
102,2004,NaN
102,2007,NaN
102,2011,NaN
103,2004,0
103,2007,0
103,2011,0
104,2004,0
104,2007,0
104,2011,0
105,2004,1.3
105,2007,1.3
105,2011,1.3
106,2004,0
106,2007,0
106,2011,0
107,2004,NA
107,2007,NA
107,2011,NA
108,2004,1.4
108,2007,1.4
108,2011,0.80322865
